shape,group,label,method,num_tests,warmup,breather,rep,tflops,clk_min,clk_med,clk_max,n_clk_samples,kernel_ms
16384x16384x32768,E,graph+nt5+flush32,graph,5,10,flush32,0,6839,2062,2062,2062,17,2.654
16384x16384x32768,E,graph+nt5+flush32,graph,5,10,flush32,1,6845,2062,2062.0,2062,16,2.654
16384x16384x32768,E,graph+nt5+flush32,graph,5,10,flush32,2,6847,2062,2062.0,2062,16,2.654
16384x16384x32768,E,event+nt5+flushA,event,5,10,flushA,0,6836,2062,2062,2062,15,2.654
16384x16384x32768,E,event+nt5+flushA,event,5,10,flushA,1,6826,2062,2062,2062,15,2.654
16384x16384x32768,E,event+nt5+flushA,event,5,10,flushA,2,6828,2062,2062,2062,15,2.654
16384x16384x32768,E,event+nt1+sleep,event,1,10,sleep,0,6843,2062,2062,2062,3,2.654
16384x16384x32768,E,event+nt1+sleep,event,1,10,sleep,1,6827,2062,2062.0,2062,2,2.654
16384x16384x32768,E,event+nt1+sleep,event,1,10,sleep,2,6849,2062,2062.0,2062,2,2.654
32768x16384x16384,A,bench_kineto,bench_kineto,10,0,flush8,0,6923,1905,1905.0,2062,38,2.599
32768x16384x16384,A,bench_kineto,bench_kineto,10,0,flush8,1,6840,1732,1732.0,1905,38,2.599
32768x16384x16384,A,bench_kineto,bench_kineto,10,0,flush8,2,6859,1717,1732,1732,39,2.599
32768x16384x16384,A,event(B),event,10,10,flush8,0,6841,1717,1717.0,2062,18,2.599
32768x16384x16384,A,event(B),event,10,10,flush8,1,6678,2062,2062.0,2062,18,2.599
32768x16384x16384,A,event(B),event,10,10,flush8,2,6689,1747,1747.0,1747,18,2.599
32768x16384x16384,A,graph,graph,10,10,flush8,0,6499,1740,1740,1740,19,2.599
32768x16384x16384,A,graph,graph,10,10,flush8,1,6469,1672,1672,1740,19,2.599
32768x16384x16384,A,graph,graph,10,10,flush8,2,6544,1672,1672,1725,19,2.599
32768x16384x16384,A,event+sync,event_sync,10,10,flush8,0,6482,1725,1725,1725,19,2.599
32768x16384x16384,A,event+sync,event_sync,10,10,flush8,1,6529,1680,1680.0,1680,18,2.599
32768x16384x16384,A,event+sync,event_sync,10,10,flush8,2,6650,1680,1680.0,1680,18,2.599
32768x16384x16384,B,nt=1,event,1,10,flush8,0,6586,1680,1680,1680,1,2.599
32768x16384x16384,B,nt=1,event,1,10,flush8,1,6409,1702,1702.0,1702,2,2.599
32768x16384x16384,B,nt=1,event,1,10,flush8,2,6558,1702,1702.0,1702,2,2.599
32768x16384x16384,B,nt=5,event,5,10,flush8,0,6501,1740,1740,1740,9,2.599
32768x16384x16384,B,nt=5,event,5,10,flush8,1,6543,1740,1740.0,1740,10,2.599
32768x16384x16384,B,nt=5,event,5,10,flush8,2,6610,1635,1635,1635,9,2.599
32768x16384x16384,B,nt=10,event,10,10,flush8,0,6416,1635,1635,1635,19,2.599
32768x16384x16384,B,nt=10,event,10,10,flush8,1,6291,1635,1635,1635,19,2.599
32768x16384x16384,B,nt=10,event,10,10,flush8,2,6593,1612,1612.0,1612,18,2.599
32768x16384x16384,B,nt=30,event,30,10,flush8,0,6478,1627,1717.0,1717,56,2.599
32768x16384x16384,B,nt=30,event,30,10,flush8,1,6503,1627,1650.0,1650,56,2.599
32768x16384x16384,B,nt=30,event,30,10,flush8,2,6592,1642,1657,1657,55,2.599
32768x16384x16384,C,br=none,event,10,10,none,0,6185,1642,1642.0,1642,14,2.599
32768x16384x16384,C,br=none,event,10,10,none,1,5462,1455,1455,1455,15,2.599
32768x16384x16384,C,br=none,event,10,10,none,2,5557,1357,1406.0,1455,16,2.599
32768x16384x16384,C,br=flush8,event,10,10,flush8,0,6537,1357,1357,1357,19,2.599
32768x16384x16384,C,br=flush8,event,10,10,flush8,1,6556,1470,1470,1470,19,2.599
32768x16384x16384,C,br=flush8,event,10,10,flush8,2,6516,1665,1665,1665,19,2.599
32768x16384x16384,C,br=flush32,event,10,10,flush32,0,6887,1672,1672.0,1672,32,2.599
32768x16384x16384,C,br=flush32,event,10,10,flush32,1,6805,2062,2062,2062,33,2.599
32768x16384x16384,C,br=flush32,event,10,10,flush32,2,6819,2062,2062,2062,33,2.599
32768x16384x16384,C,br=flushA,event,10,10,flushA,0,6808,2062,2062,2062,33,2.599
32768x16384x16384,C,br=flushA,event,10,10,flushA,1,6810,2062,2062,2062,33,2.599
32768x16384x16384,C,br=flushA,event,10,10,flushA,2,6814,2062,2062,2062,33,2.599
32768x16384x16384,C,br=sleep,event,10,10,sleep,0,6816,2062,2062,2062,25,2.599
32768x16384x16384,C,br=sleep,event,10,10,sleep,1,6817,2062,2062.0,2062,26,2.599
32768x16384x16384,C,br=sleep,event,10,10,sleep,2,6818,2062,2062,2062,25,2.599
32768x16384x16384,D,wu=2,event,10,2,flush8,0,6864,2062,2062.0,2062,18,2.599
